source,cell_id,chemistry,nominal_Ah,T_degC,c_rate_charge,c_rate_discharge,cycle,soh_pct
wheeler2025_A123_18650_LFP,Cell2b,Graphite/LFP,1.1,50.0,0.3333,0.3333,1100,73.1719
wheeler2025_A123_18650_LFP,Cell2b,Graphite/LFP,1.1,50.0,0.3333,0.3333,1200,70.4683
wheeler2025_A123_18650_LFP,Cell2b,Graphite/LFP,1.1,50.0,0.3333,0.3333,1300,69.6855
wheeler2025_A123_18650_LFP,Cell2b,Graphite/LFP,1.1,50.0,0.3333,0.3333,1400,68.4763
wheeler2025_A123_18650_LFP,Cell2b,Graphite/LFP,1.1,50.0,0.3333,0.3333,1500,67.52
wheeler2025_A123_18650_LFP,Cell2b,Graphite/LFP,1.1,50.0,0.3333,0.3333,1600,66.8538
wheeler2025_A123_18650_LFP,Cell2b,Graphite/LFP,1.1,50.0,0.3333,0.3333,1700,64.2715
wheeler2025_A123_18650_LFP,Cell2b,Graphite/LFP,1.1,50.0,0.3333,0.3333,1800,62.8526
wheeler2025_A123_18650_LFP,Cell2b,Graphite/LFP,1.1,50.0,0.3333,0.3333,1900,61.5014
wheeler2025_A123_18650_LFP,Cell2b,Graphite/LFP,1.1,50.0,0.3333,0.3333,2000,60.5557
wheeler2025_A123_18650_LFP,Cell2b,Graphite/LFP,1.1,50.0,0.3333,0.3333,2100,59.4101
wheeler2025_A123_18650_LFP,Cell2b,Graphite/LFP,1.1,50.0,0.3333,0.3333,2200,58.1745
wheeler2025_A123_18650_LFP,Cell2b,Graphite/LFP,1.1,50.0,0.3333,0.3333,2300,57.3564
wheeler2025_A123_18650_LFP,Cell2b,Graphite/LFP,1.1,50.0,0.3333,0.3333,2400,56.2392
wheeler2025_A123_18650_LFP,Cell2b,Graphite/LFP,1.1,50.0,0.3333,0.3333,2500,55.3484
wheeler2025_A123_18650_LFP,Cell2b,Graphite/LFP,1.1,50.0,0.3333,0.3333,2600,54.377
wheeler2025_A123_18650_LFP,Cell2b,Graphite/LFP,1.1,50.0,0.3333,0.3333,2700,53.4974
wheeler2025_A123_18650_LFP,Cell2b,Graphite/LFP,1.1,50.0,0.3333,0.3333,2800,52.8295
wheeler2025_A123_18650_LFP,Cell2b,Graphite/LFP,1.1,50.0,0.3333,0.3333,2900,51.8147
wheeler2025_A123_18650_LFP,Cell2b,Graphite/LFP,1.1,50.0,0.3333,0.3333,3000,50.7871
wheeler2025_A123_18650_LFP,Cell2b,Graphite/LFP,1.1,50.0,0.3333,0.3333,3100,50.0502
wheeler2025_A123_18650_LFP,Cell2b,Graphite/LFP,1.1,50.0,0.3333,0.3333,3200,49.3041
wheeler2025_A123_18650_LFP,Cell2b,Graphite/LFP,1.1,50.0,0.3333,0.3333,3300,49.2196
wheeler2025_A123_18650_LFP,Cell2c,Graphite/LFP,1.1,50.0,0.3333,0.3333,0,90.1476
wheeler2025_A123_18650_LFP,Cell2c,Graphite/LFP,1.1,50.0,0.3333,0.3333,200,85.3701
wheeler2025_A123_18650_LFP,Cell2c,Graphite/LFP,1.1,50.0,0.3333,0.3333,300,82.8112
wheeler2025_A123_18650_LFP,Cell2c,Graphite/LFP,1.1,50.0,0.3333,0.3333,400,81.3304
wheeler2025_A123_18650_LFP,Cell2c,Graphite/LFP,1.1,50.0,0.3333,0.3333,500,79.8099
wheeler2025_A123_18650_LFP,Cell2c,Graphite/LFP,1.1,50.0,0.3333,0.3333,600,80.0408
wheeler2025_A123_18650_LFP,Cell2c,Graphite/LFP,1.1,50.0,0.3333,0.3333,700,78.7876
wheeler2025_A123_18650_LFP,Cell2c,Graphite/LFP,1.1,50.0,0.3333,0.3333,800,77.1658
wheeler2025_A123_18650_LFP,Cell2c,Graphite/LFP,1.1,50.0,0.3333,0.3333,900,76.041
wheeler2025_A123_18650_LFP,Cell2c,Graphite/LFP,1.1,50.0,0.3333,0.3333,1000,75.5365
wheeler2025_A123_18650_LFP,Cell2c,Graphite/LFP,1.1,50.0,0.3333,0.3333,1100,73.4765
wheeler2025_A123_18650_LFP,Cell2c,Graphite/LFP,1.1,50.0,0.3333,0.3333,1200,73.645
wheeler2025_A123_18650_LFP,Cell2c,Graphite/LFP,1.1,50.0,0.3333,0.3333,1300,71.7419
wheeler2025_A123_18650_LFP,Cell2c,Graphite/LFP,1.1,50.0,0.3333,0.3333,1400,69.9545
wheeler2025_A123_18650_LFP,Cell2c,Graphite/LFP,1.1,50.0,0.3333,0.3333,1500,69.0746
wheeler2025_A123_18650_LFP,Cell2c,Graphite/LFP,1.1,50.0,0.3333,0.3333,1600,67.2267
wheeler2025_A123_18650_LFP,Cell2c,Graphite/LFP,1.1,50.0,0.3333,0.3333,1700,65.9417
wheeler2025_A123_18650_LFP,Cell2c,Graphite/LFP,1.1,50.0,0.3333,0.3333,1800,65.6917
wheeler2025_A123_18650_LFP,Cell2c,Graphite/LFP,1.1,50.0,0.3333,0.3333,1900,64.5728
wheeler2025_A123_18650_LFP,Cell2c,Graphite/LFP,1.1,50.0,0.3333,0.3333,2000,62.7977
wheeler2025_A123_18650_LFP,Cell2c,Graphite/LFP,1.1,50.0,0.3333,0.3333,2100,62.1125
wheeler2025_A123_18650_LFP,Cell2c,Graphite/LFP,1.1,50.0,0.3333,0.3333,2200,60.5197
wheeler2025_A123_18650_LFP,Cell2c,Graphite/LFP,1.1,50.0,0.3333,0.3333,2300,59.7263
wheeler2025_A123_18650_LFP,Cell2c,Graphite/LFP,1.1,50.0,0.3333,0.3333,2400,58.7125
wheeler2025_A123_18650_LFP,Cell2c,Graphite/LFP,1.1,50.0,0.3333,0.3333,2500,58.1393
wheeler2025_A123_18650_LFP,Cell2c,Graphite/LFP,1.1,50.0,0.3333,0.3333,2600,56.8846
wheeler2025_A123_18650_LFP,Cell2c,Graphite/LFP,1.1,50.0,0.3333,0.3333,2700,56.019
wheeler2025_A123_18650_LFP,Cell2c,Graphite/LFP,1.1,50.0,0.3333,0.3333,2800,55.1364
wheeler2025_A123_18650_LFP,Cell2c,Graphite/LFP,1.1,50.0,0.3333,0.3333,2900,53.8921
wheeler2025_A123_18650_LFP,Cell2c,Graphite/LFP,1.1,50.0,0.3333,0.3333,3000,53.3265
wheeler2025_A123_18650_LFP,Cell2c,Graphite/LFP,1.1,50.0,0.3333,0.3333,3100,52.5587
wheeler2025_A123_18650_LFP,Cell2c,Graphite/LFP,1.1,50.0,0.3333,0.3333,3200,51.9039
wheeler2025_A123_18650_LFP,Cell2c,Graphite/LFP,1.1,50.0,0.3333,0.3333,3300,51.0018
wheeler2025_A123_18650_LFP,Cell3a,Graphite/LFP,1.1,50.0,0.3333,0.3333,0,91.1868
wheeler2025_A123_18650_LFP,Cell3a,Graphite/LFP,1.1,50.0,0.3333,0.3333,150,86.1603
wheeler2025_A123_18650_LFP,Cell3a,Graphite/LFP,1.1,50.0,0.3333,0.3333,200,84.8537
wheeler2025_A123_18650_LFP,Cell3a,Graphite/LFP,1.1,50.0,0.3333,0.3333,300,82.9708
wheeler2025_A123_18650_LFP,Cell3a,Graphite/LFP,1.1,50.0,0.3333,0.3333,400,81.5868
wheeler2025_A123_18650_LFP,Cell3a,Graphite/LFP,1.1,50.0,0.3333,0.3333,500,80.6705
wheeler2025_A123_18650_LFP,Cell3a,Graphite/LFP,1.1,50.0,0.3333,0.3333,600,79.6315
wheeler2025_A123_18650_LFP,Cell3a,Graphite/LFP,1.1,50.0,0.3333,0.3333,700,78.8981
wheeler2025_A123_18650_LFP,Cell3a,Graphite/LFP,1.1,50.0,0.3333,0.3333,800,76.9507
wheeler2025_A123_18650_LFP,Cell3a,Graphite/LFP,1.1,50.0,0.3333,0.3333,900,75.6095
wheeler2025_A123_18650_LFP,Cell3a,Graphite/LFP,1.1,50.0,0.3333,0.3333,1000,74.6836
wheeler2025_A123_18650_LFP,Cell3a,Graphite/LFP,1.1,50.0,0.3333,0.3333,1100,73.7685
wheeler2025_A123_18650_LFP,Cell3a,Graphite/LFP,1.1,50.0,0.3333,0.3333,1200,73.1684
wheeler2025_A123_18650_LFP,Cell3a,Graphite/LFP,1.1,50.0,0.3333,0.3333,1300,71.0594
wheeler2025_A123_18650_LFP,Cell3a,Graphite/LFP,1.1,50.0,0.3333,0.3333,1400,70.2309
wheeler2025_A123_18650_LFP,Cell3a,Graphite/LFP,1.1,50.0,0.3333,0.3333,1500,69.0622
wheeler2025_A123_18650_LFP,Cell3a,Graphite/LFP,1.1,50.0,0.3333,0.3333,1600,67.8134
wheeler2025_A123_18650_LFP,Cell3a,Graphite/LFP,1.1,50.0,0.3333,0.3333,1700,67.0838
wheeler2025_A123_18650_LFP,Cell3a,Graphite/LFP,1.1,50.0,0.3333,0.3333,1800,65.2558
wheeler2025_A123_18650_LFP,Cell3a,Graphite/LFP,1.1,50.0,0.3333,0.3333,1900,63.7344
wheeler2025_A123_18650_LFP,Cell3a,Graphite/LFP,1.1,50.0,0.3333,0.3333,2000,62.7145
